"","player_name","gameid","playid","avg_speed","max_speed","season","half_seconds_remaining","distance","down","yards_to_go","shotgun","time_to_throw","play_action","box_player_count","screen","pass_rusher_count","num_dl","num_lb","num_db","exp_speed","speed_oe"
"1","A.J. Bouye",9345,2532258,4.05215909090909,9.29,"2018",350,16,"3",81,1,2.9,0,6,0,4,4,2,5,3.84706425666809,0.205094834240999
"2","A.J. Bouye",9345,2533438,2.10313043478261,5.61,"2018",900,10,"1",62,0,3.2,1,8,0,4,4,2,5,3.69654631614685,-1.59341588136424
"3","Adam Jones",9350,2535118,3.11319587628866,5.98,"2018",538,19,"2",84,1,3.6,0,6,0,4,2,4,5,3.28713202476501,-0.173936148476355
"4","Adam Jones",9350,2536590,3.0606,6.01,"2018",61,10,"1",88,1,3.3,0,5,0,4,1,4,6,1.53988981246948,1.52071018753052
"5","Adam Jones",9350,2536636,4.3285549132948,6.78,"2018",2,19,"3",86,1,3.4,0,4,0,4,1,4,6,2.76527738571167,1.56327752758313
"6","Adrian Amos Jr.",9351,2537605,2.65101449275362,6.07,"2018",846,2,"2",39,1,3.3,0,7,0,4,2,4,5,2.11894130706787,0.532073185685749
"7","Adrian Phillips",9347,2535339,3.54533898305085,6.95,"2018",2,20,"2",48,1,3.7,0,4,0,3,3,2,6,2.73058319091797,0.814755792132881
"8","Andrew Sendejo",9342,2532174,3.47582524271845,8.02,"2018",459,10,"1",43,1,3.5,1,6,0,4,4,2,5,3.28818202018738,0.187643222531072
"9","Anthony Averett",9346,2534313,3.59128571428571,8.16,"2018",20,10,"2",48,1,5.1,0,6,0,5,2,4,5,3.07037854194641,0.520907172339299
"10","Artie Burns",9339,2531620,2.06955882352941,6.69,"2018",1339,10,"1",76,1,3.1,0,7,0,4,3,4,4,2.18773555755615,-0.118176734026743
"11","Artie Burns",9339,2532436,1.41282608695652,7.82,"2018",404,7,"2",69,0,3,1,7,1,4,2,4,5,2.60377264022827,-1.19094655327175
"12","Bradley McDougald",9350,2534358,2.18190721649485,7.26,"2018",1765,14,"2",79,1,3.7,0,6,0,4,4,2,5,2.29657554626465,-0.114668329769799
"13","Brandon Marshall",9350,2535118,3.23530927835052,6.58,"2018",538,19,"2",84,1,3.6,0,6,0,4,2,4,5,3.28713202476501,-0.0518227464144947
"14","Da'Norris Searcy",9348,2535563,1.64666666666667,3.69,"2018",1532,10,"1",70,1,2.3,0,5,0,3,4,2,5,2.38218688964844,-0.735520222981767
"15","Darian Stewart",9350,2536284,1.9450303030303,5.24,"2018",601,8,"2",62,1,3.2,0,7,0,4,3,4,4,2.12948656082153,-0.184456257791233
"16","Derwin James",9347,2535339,1.79,5.07,"2018",2,20,"2",48,1,3.7,0,4,0,3,3,2,6,2.73058319091797,-0.940583190917969
"17","Dominique Rodgers-Cromartie",9353,2540496,3.69189189189189,8.8,"2018",744,10,"1",68,0,3.7,1,7,0,4,3,3,5,3.20241641998291,0.48947547190898
"18","Dominique Rodgers-Cromartie",9353,2540498,2.90336,7.65,"2018",701,1,"2",59,0,3.9,1,7,0,4,3,3,5,2.94142460823059,-0.0380646082305907
"19","Donte Jackson",9348,2535115,1.27108695652174,6.69,"2018",183,7,"3",64,1,4.4,0,5,0,4,4,2,5,1.63150632381439,-0.360419367292652
"20","Donte Jackson",9348,2535549,1.61805739514349,7.13,"2018",1561,8,"2",90,1,5.6,0,5,0,3,4,2,5,1.43534982204437,0.182707573099117
"21","Donte Jackson",9348,2535709,4.12051948051948,7.52,"2018",1272,10,"1",44,1,3.6,0,6,0,4,4,2,5,3.81178617477417,0.30873330574531
"22","Donte Jackson",9348,2535728,2.63417721518987,5.73,"2018",1231,11,"3",45,1,3.3,0,6,0,4,4,2,5,2.51976418495178,0.114413030238088
"23","Donte Jackson",9348,2536000,3.2263963963964,6.01,"2018",699,10,"1",23,1,5.7,0,6,0,4,4,2,5,2.96838927268982,0.258007123706581
"24","Duron Harmon",9344,2534187,2.47990049751244,7.46,"2018",38,10,"2",99,1,5.6,0,4,0,4,3,1,7,3.48308944702148,-1.00318894950904
"25","Duron Harmon",9344,2534213,1.70159292035398,3.75,"2018",21,10,"2",84,1,3.8,0,4,0,3,3,1,7,2.28792953491211,-0.586336614558129
"26","Duron Harmon",9344,2534240,2.20903846153846,5.27,"2018",5,10,"1",57,1,7.6,0,4,0,3,3,1,7,2.29311394691467,-0.0840754853762129
"27","Eric Murray",9347,2534205,2.75157894736842,6.08,"2018",1647,3,"2",68,0,3.8,1,7,0,5,3,4,4,2.93197965621948,-0.180400708851062
"28","Eric Murray",9347,2535254,2.48463636363636,4.69,"2018",69,14,"3",79,1,4.3,0,3,0,3,1,4,6,2.42746424674988,0.0571721168864823
"29","Eric Murray",9347,2536229,2.75081632653061,5.16,"2018",149,10,"1",70,1,2.5,0,5,0,4,2,4,5,3.06728410720825,-0.316467780677642
"30","Eric Murray",9347,2536240,2.38128440366972,4.95,"2018",123,10,"1",57,1,2.1,0,5,0,4,2,4,5,2.39161777496338,-0.0103333712936591
"31","Eric Murray",9347,2536422,2.60807692307692,6.52,"2018",36,10,"1",80,1,2.1,0,5,0,4,2,4,5,2.50279068946838,0.105286233608536
"32","Eric Murray",9347,2536442,1.81265060240964,4.14,"2018",11,10,"1",66,1,2.3,0,4,0,4,2,4,5,1.63424229621887,0.178408306190768
"33","Eric Murray",9347,2536448,1.86923076923077,5.1,"2018",7,10,"2",66,1,1.8,0,4,0,4,2,4,5,1.79116892814636,0.0780618410844076
"34","Eric Rowe",9344,2532509,2.49604361370717,7.75,"2018",339,3,"2",42,0,4.3,1,8,0,4,3,3,5,3.63477492332458,-1.13873130961741
"35","Eric Rowe",9344,2534240,2.39666666666667,6.75,"2018",5,10,"1",57,1,7.6,0,4,0,3,3,1,7,2.29311394691467,0.103552719751997
"36","Eric Weddle",9346,2533019,1.80534653465347,2.62,"2018",5,10,"1",55,1,1.5,0,4,0,3,2,4,5,0.775737106800079,1.02960942785339
"37","Eric Weddle",9346,2533486,2.41969387755102,5.61,"2018",1332,10,"1",38,1,8.3,0,5,0,4,3,4,4,2.4815514087677,-0.0618575312166803
"38","Greg Stroman",9349,2536593,1.52764976958525,4.7,"2018",101,10,"2",60,1,3.2,0,5,0,4,2,4,5,2.03275537490845,-0.505105605323197
"39","Greg Stroman",9349,2536618,1.322,4.87,"2018",19,7,"2",45,1,2.3,0,5,0,4,2,4,5,2.41653847694397,-1.09453847694397
"40","Jahleel Addae",9347,2535326,2.47442786069652,6.69,"2018",13,20,"1",48,1,7.1,0,6,0,4,3,2,6,3.53962445259094,-1.06519659189442
"41","Jahleel Addae",9347,2535339,1.85101694915254,5.26,"2018",2,20,"2",48,1,3.7,0,4,0,3,3,2,6,2.73058319091797,-0.879566241765429
"42","Jalen Ramsey",9345,2531623,2.68928374655647,8.44,"2018",1453,17,"2",93,1,5.3,0,6,0,4,4,2,5,2.81533098220825,-0.126047235651782
"43","James Bradberry",9348,2534552,4.154,8.24,"2018",1128,7,"2",58,0,3.5,1,9,0,4,4,3,4,4.09771633148193,0.0562836685180663
"44","Johnathan Joseph",9344,2531529,3.63164179104478,8.21,"2018",1521,10,"1",67,0,2.6,1,7,0,5,3,4,4,3.4783821105957,0.153259680449077
"45","Johnathan Joseph",9344,2532336,3.25042735042735,7.78,"2018",536,10,"1",82,0,3.1,1,7,0,4,3,3,5,3.37995338439941,-0.129526033972064
"46","Jonathan Jones",9344,2534240,3.01615384615385,7.31,"2018",5,10,"1",57,1,7.6,0,4,0,3,3,1,7,2.29311394691467,0.723039899239177
"47","Justin Simmons",9350,2536636,1.25832369942197,2.58,"2018",2,19,"3",86,1,3.4,0,4,0,4,1,4,6,2.76527738571167,-1.5069536862897
"48","Kenny Moore II",9340,2532064,2.53081395348837,6.54,"2018",958,2,"2",67,1,4.1,1,6,0,4,4,3,4,2.55055356025696,-0.0197396067685882
"49","Lamarcus Joyner",9353,2540433,3.20192771084337,4.65,"2018",1349,10,"3",63,1,2.9,0,6,0,4,3,2,6,3.16954874992371,0.0323789609196639
"50","LeShaun Sims",9341,2534483,2.62813186813187,6.25,"2018",1385,2,"2",18,1,3,1,6,0,5,2,4,5,3.95486545562744,-1.32673358749557
"51","Malik Hooker",9340,2532920,4.06666666666667,8.15,"2018",1639,24,"3",81,1,2.7,0,4,0,4,4,1,6,4.17752313613892,-0.110856469472246
"52","Marcus Gilchrist",9353,2540498,2.0912,5.45,"2018",701,1,"2",59,0,3.9,1,7,0,4,3,3,5,2.94142460823059,-0.850224608230591
"53","Marcus Peters",9353,2540370,1.86442748091603,4.62,"2018",28,1,"2",30,1,2.5,0,5,0,4,2,3,6,3.56307554244995,-1.69864806153392
"54","Marcus Peters",9353,2540563,2.18441860465116,5.54,"2018",136,10,"1",60,1,2.7,0,5,0,4,2,3,6,2.43589782714844,-0.251479222497278
"55","Marcus Peters",9353,2540580,1.87969325153374,6.13,"2018",54,1,"3",66,1,3.2,0,6,0,4,2,3,6,2.21821880340576,-0.338525551872022
"56","Micah Hyde",9346,2532328,3.27333333333333,6.52,"2018",808,13,"3",23,1,8.1,0,6,0,4,3,3,5,3.37149691581726,-0.0981635824839309
"57","Morris Claiborne",9352,2539786,3.0738679245283,6.77,"2018",811,10,"1",45,1,5.3,0,6,0,4,2,4,5,2.5634937286377,0.510374195890605
"58","Morris Claiborne",9352,2539896,4.2053488372093,9.74,"2018",76,10,"1",48,1,2.8,0,5,0,4,2,4,5,2.55328726768494,1.65206156952436
"59","Morris Claiborne",9352,2540012,5.30010101010101,7.86,"2018",1354,9,"2",74,1,5.5,0,6,0,4,2,4,5,3.06008386611938,2.24001714398163
"60","Patrick Chung",9344,2534240,2.26583333333333,6.4,"2018",5,10,"1",57,1,7.6,0,4,0,3,3,1,7,2.29311394691467,-0.0272806135813428
"61","Phillip Gaines",9346,2534141,4.32434210526316,8.39,"2018",321,15,"3",46,1,2.9,0,7,0,4,3,3,5,3.88233685493469,0.442005250328467
"62","Prince Amukamara",9351,2536904,3.07939655172414,6.49,"2018",1723,10,"1",63,1,4.3,0,5,0,4,2,4,5,2.05039668083191,1.02899987089223
"63","Prince Amukamara",9351,2537321,4.07291666666667,7.79,"2018",50,19,"3",70,1,1.8,0,3,1,3,1,4,6,3.73108100891113,0.341835657755537
